No,Title(Chinese),Title in English (title_field),Date Issued (field_date_of_original_text) YYYY-mm-dd,Effective date (field_sorting_date) YYYY-mm-dd,Type of document (field_type_of_text),Keyword/Glossary (field_informea_tags),Link to Chinese (field_url),Link to English (field_url)
1,中华人民共和国刑法,Criminal Law of the People's Republic of China (1997 Revision),1997-03-14,1997-05-01,legislation,criminal law; environmental pollution,http://www.npc.gov.cn/wxzl/gongbao/2000-12/17/content_5004680.htm,http://www.npc.gov.cn/englishnpc/Law/2007-12/13/content_1384075.htm
2,中华人民共和国刑法修正案,Amendment to the Criminal Law of the People's Republic of China,1999-12-25,1999-12-25,legislation,criminal law; environmental pollution,http://www.npc.gov.cn/wxzl/wxzl/2000-12/05/content_4760.htm,http://www.npc.gov.cn/englishnpc/Law/2007-12/11/content_1383555.htm
3,中华人民共和国刑法修正案(二),Amendment II to the Criminal Law of the People's Republic of China,2001-08-31,2001-08-31,legislation,criminal law; environmental pollution,http://www.npc.gov.cn/wxzl/wxzl/2001-09/17/content_142641.htm,http://www.npc.gov.cn/englishnpc/Law/2007-12/10/content_1383441.htm
4,中华人民共和国刑法修正案(三),Amendment III to the Criminal Law of the People's Republic of China,2001-12-29,2001-12-29,legislation,criminal law; environmental pollution,http://www.npc.gov.cn/npc/lfzt/rlys/2008-08/21/content_1882892.htm,http://www.npc.gov.cn/englishnpc/Law/2007-12/06/content_1382327.htm
5,中华人民共和国刑法修正案(四）,Amendment IV to the Criminal Law of the People's Republic of China,2002-12-28,2002-12-28,legislation,criminal law; environmental pollution,http://www.npc.gov.cn/npc/lfzt/rlys/2008-08/21/content_1882891.htm,http://www.npc.gov.cn/englishnpc/Law/2007-12/06/content_1382078.htm
6,中华人民共和国刑法修正案(五）,Amendment V to the Criminal Law of the People's Republic of China,2005-02-28,2005-02-28,legislation,criminal law; environmental pollution,http://www.npc.gov.cn/npc/lfzt/rlys/2008-08/21/content_1882890.htm,http://www.npc.gov.cn/englishnpc/Law/2007-12/13/content_1384095.htm
7,中华人民共和国刑法修正案(六）,Amendment VI to the Criminal Law of the People's Republic of China,2006-06-29,2006-06-29,legislation,criminal law; environmental pollution,http://www.npc.gov.cn/npc/lfzt/rlys/2008-08/21/content_1882889.htm,http://www.npc.gov.cn/englishnpc/Law/2008-01/02/content_1388005.htm
8,中华人民共和国刑法修正案(七）,Amendment Ⅶ to the Criminal Law of the People's Republic of China,2009-02-28,2009-02-28,legislation,criminal law; environmental pollution,http://www.gov.cn/flfg/2009-02/28/content_1246438.htm,http://www.npc.gov.cn/englishnpc/Law/2011-02/15/content_1620636.htm
9,中华人民共和国刑法修正案(八）,Amendment VIII to the Criminal Law of the People's Republic of China,2011-02-25,2011-05-01,legislation,criminal law; environmental pollution,http://www.npc.gov.cn/npc/xinwen/2011-02/25/content_1625679.htm,http://english.court.gov.cn/2015-12/01/content_22596448.htm
10,中华人民共和国刑法修正案(九）,Amendment IX to the Criminal Law of the People's Republic of China,2015-08-29,2015-11-01,legislation,criminal law; environmental pollution,http://npc.people.com.cn/n/2015/1126/c14576-27857512.html,http://www.lawinfochina.com/display.aspx?id=19864&lib=law&SearchKeyword=&SearchCKeyword=%d0%cc%b7%a8
11,中华人民共和国刑法修正案(十）,Amendment X to the Criminal Law of the People's Republic of China,2017-11-04,2017-11-04,legislation,criminal law; environmental pollution,http://www.npc.gov.cn/npc/xinwen/2017-11/04/content_2031452.htm,http://www.lawinfochina.com/display.aspx?id=24149&lib=law&SearchKeyword=&SearchCKeyword=%d0%cc%b7%a8
12,两高关于办理环境污染刑事案件适用法律若干问题的解释,Interpretation of the Supreme People's Court and the Supreme People's Procuratorate on Several Issues concerning the Application of Law in the Handling of Criminal Cases of Environmental Pollution ( 2013 Expired),2013-06-17,2013-06-19,Miscellaneous,"criminal law; environmental pollution, environmental protection",http://www.spp.gov.cn/flfg/sfjs/201306/t20130619_59706.shtml,http://www.lawinfochina.com/display.aspx?id=14396&lib=law
13,两高关于办理环境污染刑事案件适用法律若干问题的解释,Interpretation of the Supreme People's Court and the Supreme People's Procuratorate on Several Issues concerning the Application of Law in the Handling of Criminal Cases of Environmental Pollution ,2016-12-23,2017-01-01,Miscellaneous,criminal law; environmental pollution,http://www.spp.gov.cn/zdgz/201612/t20161227_176817.shtml,http://en.pkulaw.cn/display.aspx?cgid=287324&lib=law&EncodingName=big5
14,中华人民共和国刑事诉讼法,Criminal Procedure Law of the People's Republic of China ( 2012 Amendment),2012-03-14,1980-01-01,legislation,rule of law,http://www.gov.cn/flfg/2012-03/17/content_2094354.htm,http://www.lawinfochina.com/display.aspx?id=9247&lib=law
16,最高人民法院关于审理破坏野生动物资源 刑事案件具体应用法律若干问题的解释,Interpretation of the Supreme People's Court on Several Issues concerning the Application of Law in the Handling of Criminal Cases of wildlife damage,17-11-2000,2000-11-12,Miscellaneous,criminal law; environmental pollution; wildlife crime; wildlife,http://www.szum.gov.cn/xsmh/ysdzwbh/ysdw/dwflfg/201703/P020170323389524112053.pdf,
17,中华人民共和国海洋环境保护法,Marine Environment Protection Law of the People's Republic of China (1999 Revision),1999-12-25,2000-04-01,legislation,marine pollution; marine fishery;marine ecosystem;marine spatial planning;marine resources conservation,http://www.npc.gov.cn/wxzl/gongbao/2000-12/17/content_5004762.htm,http://www.npc.gov.cn/englishnpc/Law/2007-12/13/content_1384046.htm
18,中华人民共和国海洋环境保护法,Marine Environment Protection Law of the People's Republic of China ( 2017 Amendment),2017-11-04,2017-11-05,legislation,marine pollution; marine fishery;marine ecosystem;marine spatial planning;marine resources conservation,http://www.npc.gov.cn/npc/xinwen/2017-11/28/content_2032721.htm,http://www.lawinfochina.com/display.aspx?id=27153&lib=law
19,环境行政处罚办法,Measures for Environmental Administrative Punishment (2010 revision),2010-01-19,2010-01-03,Regulation,administrative law; local administration,http://www.zhb.gov.cn/gkml/hbb/bl/201002/t20100201_185230.htm,http://www.lawinfochina.com/display.aspx?lib=law&id=8289 
20,中华人民共和国行政处罚法,Law of the People's Republic of China on Administrative Penalty (2017 amendment),2017-09-01,2018-01-01,Legislation,penalty; administrative law,http://www.npc.gov.cn/wxzl/wxzl/2008-12/15/content_1462070.htm,http://en.pkulaw.cn/display.aspx?cgid=301397&lib=law 
21,中华人民共和国行政处罚法,Law of the People's Republic of China on Administrative Penalty  (2009 amendment),2009-08-27,1996-10-01,Legislation,penalty; administrative law,https://www.itslaw.com/search/lawsAndRegulations/lawAndRegulation?searchMode=lawsAndRegulations&lawAndRegulationId=567fc73f-cf36-4784-9a88-c952fa3f2bdc&lawRegulationArticleId=1000045324,http://en.pkulaw.cn/display.aspx?id=22c95434b5264855bdfb&lib=law&SearchKeyword=&SearchCKeyword=%d6%d0%bb%aa%c8%cb%c3%f1%b9%b2%ba%cd%b9%fa%d0%d0%d5%fe%b4%a6%b7%a3%b7%a8
22,中华人民共和国水污染防治法,Water Pollution Prevention and Control Law of the People's Republic of China (2017 revision),2017-06-27,2018-01-01,Legislation,water pollution,http://zfs.mep.gov.cn/fl/201801/t20180118_429929.shtml,http://en.pkulaw.cn/display.aspx?cgid=297378&lib=law
26,中华人民共和国侵权责任法,Tort Law of the People's Republic of China,2009-12-26,2010-07-01,Legislation,liability;compensation,"http://www.npc.gov.cn/wxzl/gongbao/2010-03/01/content_1580399.htm
","http://www.lawinfochina.com/Display.aspx?lib=law&Cgid=125300
"
27,最高人民法院关于审理环境侵权责任纠纷案件适用法律若干问题的解释,Interpretation of the Supreme People's Court of Several Issues on the Application of Law in the Trial of Disputes over Liability for Environmental Torts,2015-06-01,2015-06-03,Miscellaneous,liability；dispute；environmental damage,http://www.court.gov.cn/fabu-xiangqing-14615.html,http://en.pkulaw.cn/display.aspx?cgid=249359&lib=law
28,中华人民共和国民事诉讼法,Civil Procedure Law of the People's Republic of China (2012 amendment),2012-08-31,2013-01-01,Legislation,rule of law,http://www.npc.gov.cn/wxzl/gongbao/2012-11/12/content_1745518.htm,http://www.pkulaw.com/en_law/68957aaf4c3a793dbdfb.html
29,中华人民共和国民事诉讼法,Civil Procedure Law of the People's Republic of China (2017 Revision),2017-06-27,2017-07-01,Legislation,rule of law,http://www.npc.gov.cn/npc/xinwen/2017-06/29/content_2024892.htm,http://www.lawinfochina.com/display.aspx?id=23601&lib=law
30,最高人民法院关于民事诉讼证据的若干规定  ,Some Provisions of the Supreme People's Court on Evidence in Civil Procedures,2002-04-01,2001-12-21,Miscellaneous,rule of law,http://www.court.gov.cn/zixun-xiangqing-827.html,http://en.pkulaw.cn/display.aspx?cgid=38083&lib=law
31,最高人民法院关于审理环境民事公益诉讼案件适用法律若干问题的解释,"        
Interpretation of the Supreme People's Court on Several Issues concerning the Application of Law in the Conduct of Environmental Civil Public Interest Litigations",2015-01-06,2015-01-07,Miscellaneous,litigation; environmental damage;access to justice,http://www.court.gov.cn/zixun-xiangqing-13025.html,
